obs_friendship,source_friendship,target_friendship,weight_friendship,date_friendship,date_can_friendship
14509,fa10-01-01,sp10-01-53,2,01-Dec-10,40513
14510,fa10-01-01,fa10-01-79,2,01-Dec-10,40513
14511,fa10-01-01,sp10-01-38,2,01-Dec-10,40513
14512,fa10-01-01,sp10-01-39,2,01-Dec-10,40513
14513,fa10-01-01,fa10-01-81,2,01-Dec-10,40513
14514,fa10-01-01,fa10-01-78,2,01-Dec-10,40513
14515,fa10-01-01,fa10-01-67,2,01-Dec-10,40513
14516,fa10-01-01,fa10-01-68,2,01-Dec-10,40513
14517,fa10-01-01,fa10-01-73,2,01-Dec-10,40513
14518,fa10-01-01,fa10-01-74,2,01-Dec-10,40513
14519,fa10-01-01,fa10-01-15,2,01-Dec-10,40513
14520,fa10-01-01,fa10-01-80,2,01-Dec-10,40513
14521,fa10-01-01,fa10-01-19,2,01-Dec-10,40513
14522,fa10-01-01,fa10-01-85,2,01-Dec-10,40513
14523,fa10-01-01,fa10-01-86,2,01-Dec-10,40513
14524,fa10-01-01,sp10-01-24,2,01-Dec-10,40513
14525,fa10-01-01,fa10-01-17,2,01-Dec-10,40513
14526,fa10-01-01,fa10-01-18,2,01-Dec-10,40513
14527,fa10-01-01,fa10-01-04,2,01-Dec-10,40513
14528,fa10-01-01,fa10-01-06,2,01-Dec-10,40513
14529,fa10-01-01,fa10-01-45,2,01-Dec-10,40513
14530,fa10-01-01,sp10-01-13,2,01-Dec-10,40513
14531,fa10-01-01,fa10-01-07,2,01-Dec-10,40513
14532,fa10-01-01,sp10-01-46,2,01-Dec-10,40513
14533,fa10-01-01,sp10-01-44,2,01-Dec-10,40513
14534,fa10-01-01,sp10-01-06,2,01-Dec-10,40513
14535,fa10-01-01,fa10-01-83,2,01-Dec-10,40513
14536,fa10-01-01,fa10-01-14,2,01-Dec-10,40513
14537,fa10-01-01,fa10-01-13,2,01-Dec-10,40513
14538,fa10-01-01,fa10-01-05,2,01-Dec-10,40513
14539,fa10-01-01,fa10-01-75,2,01-Dec-10,40513
14540,fa10-01-01,fa10-01-01,2,01-Dec-10,40513
14541,fa10-01-01,fa10-01-02,2,01-Dec-10,40513
14542,fa10-01-01,fa10-01-20,2,01-Dec-10,40513
14543,fa10-01-01,fa10-01-76,2,01-Dec-10,40513
14544,fa10-01-01,fa10-01-58,2,01-Dec-10,40513
14545,fa10-01-01,fa10-01-21,2,01-Dec-10,40513
14546,fa10-01-01,sp10-01-28,2,01-Dec-10,40513
14547,fa10-01-01,sp10-01-26,2,01-Dec-10,40513
14548,fa10-01-01,sp10-01-55,2,01-Dec-10,40513
14549,fa10-01-01,sp10-01-05,2,01-Dec-10,40513
14550,fa10-01-01,sp10-01-35,2,01-Dec-10,40513
14551,fa10-01-01,fa10-01-35,2,01-Dec-10,40513
14552,fa10-01-01,fa10-01-40,2,01-Dec-10,40513
14553,fa10-01-01,fa10-01-60,2,01-Dec-10,40513
14554,fa10-01-01,sp10-01-23,2,01-Dec-10,40513
14555,fa10-01-01,sp10-01-11,2,01-Dec-10,40513
14556,fa10-01-01,sp10-01-12,2,01-Dec-10,40513
14557,fa10-01-01,sp10-01-07,2,01-Dec-10,40513
